Year_of_prod,Season,Episode Number,Episode_Title,Duration,Director,Stars,Votes,Full Summary,Chandler,Joey,Ross,Rachel,Phoebe,Monica,The Gang,Summary1,Summary2,Summary3,Summary4,Summary5,Summary6,Summary7,Summary8,Summary9,Summary10,Summary11,Summary12,Summary13,Summary14,Summary15,Summary16,Summary17,Summary18,Summary19,Summary20,Summary21,Summary22,Summary23,Summary24,Summary25,Summary26,Summary27,Summary28,Summary29,Summary30,Summary31,Summary32,Summary33,Summary34,Summary35,Summary36,Summary37,Summary38,Summary39,Summary40,Summary41,Summary42,Summary43,Summary44,Summary45,Summary46,Summary47,Summary48,Summary49,Summary50,Summary51,Summary52
1994,1,1,The One Where Monica Gets a Roommate: The Pilot,22,James Burrows,8.3,7440,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar.",0,0,0,1,0,1,0,Monica,,,,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,1,2,The One with the Sonogram at the End,22,James Burrows,8.1,4888,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,0,0,2,1,0,1,0,Ross,,,,,,,Rachel,,,,,,,Monica,,,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,1,3,The One with the Thumb,22,James Burrows,8.2,4605,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,1,0,0,0,1,1,0,Monica,,,,,,,,,,,,,Chandler,,,,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,1,4,The One with George Stephanopoulos,22,James Burrows,8.1,4468,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.",1,1,1,0,0,0,0,Joey,,Chandler,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,1,5,The One with the East German Laundry Detergent,22,Pamela Fryman,8.5,4438,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.",1,1,1,1,0,1,0,,,,,,Rachel,Ross,,,,,,,,,,,,,,,Joey,,Monica,,,,,,Chandler,,,,,,,,,,,,,,,,,,,,,,
1994,1,6,The One with the Butt,22,Arlene Sanford,8.1,4274,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,1,1,0,1,0,1,0,Monica,,,,,,,,Rachel,,,,Joey,,,,,,,,,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,1,7,The One with the Blackout,22,James Burrows,9,5469,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.",1,0,1,1,0,0,0,,,,,,,,Ross,,,,Rachel,,,,,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,1,8,The One Where Nana Dies Twice,22,James Burrows,8.1,4156,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,1,0,1,0,0,1,0,Monica,,Ross,,,,,,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,1,9,The One Where Underdog Gets Away,22,James Burrows,8.2,4038,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,0,0,0,1,0,1,1,The Gang,,,,,,,,,,,,,Monica,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,1,10,The One with the Monkey,22,Peter Bonerz,8.1,4064,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,Phoebe,,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
